Price,Close,High,Low,Open,Volume
Ticker,^MXX,^MXX,^MXX,^MXX,^MXX
Date,,,,,
2025-03-24,52674.83984375,52994.03125,52599.94140625,52780.7890625,153630100
2025-03-25,53203.26171875,53283.3515625,52670.05859375,52670.05859375,186158900
2025-03-26,52806.890625,53270.671875,52729.12109375,53258.3984375,179878100
2025-03-27,53477.73828125,53539.859375,52691.21875,52782.8515625,210148600
2025-03-28,53172.96875,53573.30859375,52716.21875,53351.33984375,168304100
2025-03-31,52484.4296875,53068.6796875,52149.5,53068.6796875,195253200
2025-04-01,53337.8984375,53417.5,52284.6484375,52546.87109375,208022000
2025-04-02,53800.9296875,53853.48046875,53005.41015625,53235.80078125,173365200
2025-04-03,54089.28125,54874.9296875,53001.109375,53438.41015625,259297600
2025-04-04,51452.73046875,53818.01953125,51175.01171875,53818.01953125,168655800
2025-04-07,50458.3203125,51867.05078125,49799.28125,51313.69921875,464057500
2025-04-08,50316.58984375,51460.75,50174.078125,50675.25,338824800
2025-04-09,52527.671875,52721.890625,49874.0390625,50362.8515625,373032500
2025-04-10,51514.8203125,52531.26953125,51386.73046875,52531.26953125,266889500
2025-04-11,51498.8984375,52138.640625,51437.421875,51550.16015625,219863200
2025-04-14,52391.3515625,52814.69140625,51553.55859375,51553.55859375,173187400
2025-04-15,52643.0390625,52909.78125,52259.4296875,52328.7890625,177897600
2025-04-16,53018.5703125,53459.5703125,52590.76171875,52699.6796875,168232900
2025-04-21,53758.75,53878.359375,53117.44140625,53117.8203125,166886500
2025-04-22,54777.83984375,54833.671875,53665.03125,53665.03125,249716500
2025-04-23,55766.578125,56240.94921875,54846.48046875,54846.48046875,239655200
2025-04-24,56382.0,56730.62890625,55603.71875,55774.4609375,249950000
2025-04-25,56720.12109375,56842.66015625,56058.21875,56377.390625,217532100
2025-04-28,56980.12890625,57415.859375,56644.37109375,56804.87890625,193000200
2025-04-29,55613.4296875,57098.48046875,55505.2109375,56940.5703125,240938000
2025-04-30,56259.28125,56336.4609375,55241.51171875,55602.80078125,226957400
2025-05-02,55811.98828125,56314.16015625,55468.19140625,56302.80078125,187308500
2025-05-05,55835.98828125,56013.16015625,55405.87109375,55754.21875,111481900
2025-05-06,57349.828125,57456.01171875,55619.078125,55767.58984375,166331300
2025-05-07,57954.390625,58077.76953125,57062.94140625,57270.37890625,236411100
2025-05-08,56866.76171875,58392.6015625,56751.2890625,57949.3515625,204755600
2025-05-09,56551.1796875,57268.890625,56456.23828125,56771.0,178391500
2025-05-12,56765.578125,57215.87109375,55872.66015625,56985.19140625,157919700
2025-05-13,57357.5390625,57782.859375,56541.2890625,56773.03125,192326600
2025-05-14,57644.94140625,57710.05859375,57133.8515625,57421.5703125,186765600
